"make","model","condition","grade","capacity","colour","network","count"
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",53
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",54
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",55
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",56
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",57
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",58
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",59
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",60
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",61
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",62
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",63
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",64
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",65
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",66
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",67
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",68
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",69
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",70
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",71
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",72
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",73
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",74
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",75
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",76
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",77
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",78
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",79
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",80
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",81
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",82
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",83
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",84
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",85
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",86
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",87
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",88
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",89
Sony,"3 SWR50 SmartWatch Classic","Brand New","Insurance Grade","Not Applicable","Black","Not Applicable",90
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",91
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",92
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",93
Sony,"3 SWR50 SmartWatch Classic","Brand New","Insurance Grade","Not Applicable","Black","Not Applicable",94
Sony,"3 SWR50 SmartWatch Classic","Non-working","Unknown","Not Applicable","Black","Not Applicable",95
Sony,"3 SWR50 SmartWatch Classic","Non-working","Unknown","Not Applicable","Black","Not Applicable",96
Sony,"3 SWR50 SmartWatch Classic","Non-working","Unknown","Not Applicable","Black","Not Applicable",97
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",98
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",99
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",100
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",101
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",102
Sony,"3 SWR50 SmartWatch Classic","BER","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",103
Sony,"3 SWR50 SmartWatch Classic","Non-working","Unknown","Not Applicable","Lime","Not Applicable",104
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Not Applicable","Black","Not Applicable",105
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B B2B","Not Applicable","Black","Not Applicable",106
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Brown","Not Applicable",107
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",108
Sony,"3 SWR50 SmartWatch Classic","Brand New","Insurance Grade","Not Applicable","Black","Not Applicable",109
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",110
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",111
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",112
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",113
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",114
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",115
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",116
Sony,"3 SWR50 SmartWatch Classic","Brand New","Insurance Grade","Not Applicable","Black","Not Applicable",117
Sony,"3 SWR50 SmartWatch Classic","Brand New","Insurance Grade","Not Applicable","Black","Not Applicable",118
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",119
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",120
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",121
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",122
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",123
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",124
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",125
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",126
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",127
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",128
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",129
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",130
Sony,"3 SWR50 SmartWatch Classic","Brand New","Brand New","Not Applicable","Black","Not Applicable",131
Sony,"3 SWR50 SmartWatch Classic","Non-working","Unknown","Not Applicable","Black","Not Applicable",132
Sony,"3 SWR50 SmartWatch Classic","Brand New","Brand New","Not Applicable","Black","Not Applicable",133
Sony,"3 SWR50 SmartWatch Classic","Brand New","Brand New","Not Applicable","Black","Not Applicable",134
Sony,"3 SWR50 SmartWatch Classic","Brand New","Brand New","Not Applicable","Black","Not Applicable",135
Sony,"3 SWR50 SmartWatch Classic","Brand New","Brand New","Not Applicable","Black","Not Applicable",136
Sony,"3 SWR50 SmartWatch Classic","Brand New","Brand New","Not Applicable","Black","Not Applicable",137
Sony,"3 SWR50 SmartWatch Classic","Brand New","Brand New","Not Applicable","Black","Not Applicable",138
Sony,"3 SWR50 SmartWatch Classic","Brand New","Brand New","Not Applicable","Black","Not Applicable",139
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",140
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",141
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",142
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",143
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",144
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",145
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",146
Sony,"3 SWR50 SmartWatch Classic","Non-working","Unknown","Not Applicable","Black","Not Applicable",147
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",148
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",149
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",150
Sony,"3 SWR50 SmartWatch Classic","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",151
Sony,"3 SWR50 SmartWatch Classic","Working","Grade B - Good Condition","Not Applicable","Black","Not Applicable",152
Sony,"3 SWR50 SmartWatch Classic","Working","Insurance Grade","Not Applicable","Black","Not Applicable",153
Sony,"3 SWR50 SmartWatch Classic","Working","Grade C - Acceptable Condition","Unknown","Black","Not Applicable",154
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",155
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",156
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",157
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",158
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",159
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",160
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",161
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",162
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",163
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",164
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",165
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",166
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",167
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",168
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",169
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",170
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",171
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",172
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",173
Sony,"3 SWR50 SMARTWATCH CLASSIC - FBA FRANCE","Brand New","Brand New","Not Applicable","Black","Not Applicable",174
