"make","model","condition","grade","capacity","colour","network","count"
"AKASA","PROCESSOR COOLER - AK 785SE","Brand New","Insurance Grade","Not Applicable","Black","Not Applicable",1
"AKASA","PROCESSOR COOLER - AK 785SE","Brand New","Insurance Grade","Not Applicable","Black","Not Applicable",2
"AKASA","PROCESSOR COOLER - AK 785SE","Brand New","Insurance Grade","Not Applicable","Black","Not Applicable",3
"AKASA","PROCESSOR COOLER - AK 785SE","Brand New","Insurance Grade","Not Applicable","Black","Not Applicable",4
